Station Name,Mean Temperature (C),Total Precipitation (mm),Province,Year
BEAR CREEK,15.4,20.9,British Columbia,1971
COWICHAN BAY CHERRY POINT,17.4,12.8,British Columbia,1971
COWICHAN LAKE FORESTRY,18.8,21.3,British Columbia,1971
COWICHAN LAKE VILLAGE,17.7,36.4,British Columbia,1971
DUNCAN FORESTRY,17.7,18.1,British Columbia,1971
EAST SOOKE ANDERSON COVE,16.3,8.4,British Columbia,1971
ELK LAKE,17.7,10.4,British Columbia,1971
JAMES ISLAND,17.1,12.2,British Columbia,1971
PORT RENFREW,15.0,52.1,British Columbia,1971
RIVER JORDAN,14.3,11.5,British Columbia,1971
SAANICHTON CDA,16.9,9.9,British Columbia,1971
SAANICH DENSMORE,19.7,10.2,British Columbia,1971
SALTSPRING ISLAND,17.8,14.5,British Columbia,1971
SAANICH DOM ASTRO OBS,19.1,9.4,British Columbia,1971
SALTSPRING VESUVIUS,18.4,6.3,British Columbia,1971
SHAWNIGAN LAKE,17.7,21.9,British Columbia,1971
SOUTH PENDER ISLAND 2,17.1,16.1,British Columbia,1971
VICTORIA GONZALES HTS,15.3,13.3,British Columbia,1971
VICTORIA INT'L A,16.4,13.9,British Columbia,1971
VICTORIA MARINE,13.7,9.2,British Columbia,1971
VICTORIA TILLICUM,16.9,8.9,British Columbia,1971
WILLIAM HEAD,15.9,10.0,British Columbia,1971
VICTORIA SHORT STREET,17.7,7.2,British Columbia,1971
ALERT BAY,14.3,40.5,British Columbia,1971
CAMPBELL RIVER A,17.1,19.6,British Columbia,1971
CAMPBELL RIVER BCFS,18.5,15.6,British Columbia,1971
CAMPBELL R LAKEVIEW FC,17.5,24.2,British Columbia,1971
CHATHAM POINT,16.5,46.9,British Columbia,1971
COAL HARBOUR RUPERT IN,16.7,39.4,British Columbia,1971
COMOX A,18.1,11.7,British Columbia,1971
CORTES ISLAND,18.4,19.6,British Columbia,1971
CUMBERLAND,17.4,30.8,British Columbia,1971
MUD BAY,18.0,26.2,British Columbia,1971
NANAIMO A,18.4,23.5,British Columbia,1971
NANAIMO CHUB,19.4,19.8,British Columbia,1971
OYSTER RIVER UBC,16.7,33.9,British Columbia,1971
NANAIMO DEPARTURE BAY,19.8,18.2,British Columbia,1971
PORT HARDY A,13.9,37.9,British Columbia,1971
QUALICUM R FISH RESEARCH,16.9,27.5,British Columbia,1971
STRATHCONA DAM,17.7,33.9,British Columbia,1971
ALBERNI LUPSI CUPSI,18.8,14.1,British Columbia,1971
ALBERNI MCCOY LAKE,18.5,26.3,British Columbia,1971
ALBERNI ROBERTSON CREEK,18.5,21.2,British Columbia,1971
AMPHITRITE POINT,13.4,28.8,British Columbia,1971
